   Guam, 80 472
   Kiribati, 3 126
   Marshall Islands, 3 298
   Micronesia (Fed. States of), 2 832
   Nauru, 2 201
   Northern Mariana Islands, 21 843
   Palau, 5 088
   American Samoa, 23 608
   Cook Islands, 4 579
   French Polynesia, 30 081
   Niue,  588
   Samoa, 4 021
   Tokelau, 1 238
   Tonga, 3 742
   Tuvalu,  239
   Wallis and Futuna Islands, 2 040
